সকালের নাস্তা ,Price
ভাজি,20
বুটের ডাল,20
মুগ ডাল,30
গরুর নেহারি,100
খাসির নেহারি,100
খাসির পায়া,100
খাসির কলিজা,100
মুরগির সুপ,80
ডিম মামলেট,20
পরোটা,10
রুটি,10
চা,20
খাসির খিচুড়ি,180
খাসির তেহারি,150
কিমা পুরি,20
,
দুপুর ও রাতের খাবার ,Price
শাক,20
করোল্লা ভাজি,20
ঢেঁড়স ভাজি,20
বেগুন ভাজি,20
টাকি মাছ ভর্তা,30
চিংড়ি মাছ ভর্তা,30
শুটকি ভর্তা,30
কলা ভর্তা,20
টমেটোর চাটনি,30
কালোজিরা ভর্তা,20
ধনিয়া ভর্তা,20
পাতলা ডাল,20
রুই মাছ,150
কোরাল মাছ,220
বোয়াল মাছ,220
পাবদা মাছ,210
রূপচাঁদা মাছ,320
চিংড়ি মাছ,190
সরিষা ইলিশ,260
গুড়া মাছ,110
আইড় মাছ,180
বাইলা মাছ,170
শোল মাছ,170
বাইন মাছ,220
খাসির পা রোস্ট,380
খাসির রেজালা,180
ডাল খাসি,190
মুরগির ঝাল ফ্রাই,150
মুরগি মোসাল্লাম,250
মুরগির রোস্ট,130
গরু ভুনা,160
গরুর লাল ভূনা, 180
গরুর কালা ভুনা,180
সাদা ভাত,20
খাসির কাচ্চি,240
চিকেন বিরিয়ানি,130
খাসির তেহারি,160
খাসির খিচুড়ি,190
মোরগ পোলাও,350
বোরহানি,30
,
বিকেলের খাবার,Price
গ্রিল কোয়াটার,110
গ্রিল হাফ,190
গ্রিল ফুল,360
বিফ শিক/লতা কাবাব,150
বিফ বটি কাবাব,180
খাসির বটি কাবাব,190
চিকেন রেশমি কাবাব,150
চিকেন তান্দুরি,140
চিকেন হারিয়ালি কাবাব,130
চিকেন গিলাপি কাবাব,140
চিকেন মালাই কাবাব,140
চিকেন টিক্কা/বটি কাবাব,160
চিকেন চাপ,120
বিফ চাপ,160
তেলাপিয়া গ্রিল,160
চিকেন ঝাল ফ্রাই,130
চিকেন তান্দুর রোল ,170
বিফ কাশ্মীরি রোল ,190
বাটার নান,25
গার্লিক নান,60
কাশ্মীরি নান,90
শাহী পরোটা,25
লুচি পরোটা,20
মোগলাই পরোটা,60
"খাসির হালিম পার্সেল ১৮০ টাকা (৫০০ গ্রাম সর্বনিম্ন)",90
,
মেজবানী পেট চুক্তি,330
মেজবানী খাইয়ুন,210
গরুর মেজবানী,250
আস্ত মোরগ পোলাও ,380
খাসির কাচ্চি লোডেড,300
লেবু জুস,40
মাল্টা জুস,100
আনার জুস,110
আপেল জুস,80
আঙ্গুর,100
ফালুদা,100
লাচ্ছি,60
কোল্ড কফি,80
বোরহানি,30
পুডিং,50
দই,30
ফিরনি,35
,
Sweets,Price
এ্যালাবেলা,590
চমচম,290
রসমালাই,380
মালাইকারী,420
পানতোয়া,320
স্পঞ্জ,280
ফিরনি,35
